,Commune,Année,Population_nombre-hbt
0,Aire-la-Ville,2000,711.0
1,Aire-la-Ville,2001,713.0
2,Aire-la-Ville,2002,710.0
3,Aire-la-Ville,2003,736.0
4,Aire-la-Ville,2004,727.0
5,Aire-la-Ville,2005,836.0
6,Aire-la-Ville,2006,909.0
7,Aire-la-Ville,2007,1095.0
8,Aire-la-Ville,2008,1122.0
9,Aire-la-Ville,2009,1138.0
10,Aire-la-Ville,2010,1161.0
11,Aire-la-Ville,2011,1142.0
12,Aire-la-Ville,2012,1119.0
13,Aire-la-Ville,2013,1119.0
14,Aire-la-Ville,2014,1155.0
15,Aire-la-Ville,2015,1160.0
16,Aire-la-Ville,2016,1157.0
17,Aire-la-Ville,2017,1164.0
18,Aire-la-Ville,2018,1177.0
19,Aire-la-Ville,2019,1164.0
20,Aire-la-Ville,2020,1155.0
21,Aire-la-Ville,2021,1136.0
22,Aire-la-Ville,2022,1146.0
23,Aire-la-Ville,2023,1158.0
24,Aire-la-Ville,2024,1166.0
25,Anières,2000,1991.0
26,Anières,2001,2249.0
27,Anières,2002,2335.0
28,Anières,2003,2354.0
29,Anières,2004,2344.0
30,Anières,2005,2365.0
31,Anières,2006,2422.0
32,Anières,2007,2412.0
33,Anières,2008,2526.0
34,Anières,2009,2523.0
35,Anières,2010,2537.0
36,Anières,2011,2493.0
37,Anières,2012,2544.0
38,Anières,2013,2521.0
39,Anières,2014,2495.0
40,Anières,2015,2558.0
41,Anières,2016,2577.0
42,Anières,2017,2531.0
43,Anières,2018,2468.0
44,Anières,2019,2446.0
45,Anières,2020,2432.0
46,Anières,2021,2481.0
47,Anières,2022,2569.0
48,Anières,2023,2597.0
49,Anières,2024,2625.0
50,Avully,2000,1737.0
51,Avully,2001,1753.0
52,Avully,2002,1746.0
53,Avully,2003,1752.0
54,Avully,2004,1772.0
55,Avully,2005,1792.0
56,Avully,2006,1740.0
57,Avully,2007,1752.0
58,Avully,2008,1769.0
59,Avully,2009,1778.0
60,Avully,2010,1756.0
61,Avully,2011,1760.0
62,Avully,2012,1771.0
63,Avully,2013,1774.0
64,Avully,2014,1779.0
65,Avully,2015,1786.0
66,Avully,2016,1758.0
67,Avully,2017,1776.0
68,Avully,2018,1757.0
69,Avully,2019,1717.0
70,Avully,2020,1752.0
71,Avully,2021,1724.0
72,Avully,2022,1741.0
73,Avully,2023,1764.0
74,Avully,2024,1750.0
75,Avusy,2000,1176.0
76,Avusy,2001,1196.0
77,Avusy,2002,1192.0
78,Avusy,2003,1241.0
79,Avusy,2004,1268.0
80,Avusy,2005,1253.0
81,Avusy,2006,1303.0
82,Avusy,2007,1305.0
83,Avusy,2008,1375.0
84,Avusy,2009,1374.0
85,Avusy,2010,1388.0
86,Avusy,2011,1430.0
87,Avusy,2012,1453.0
88,Avusy,2013,1443.0
89,Avusy,2014,1452.0
90,Avusy,2015,1432.0
91,Avusy,2016,1408.0
92,Avusy,2017,1441.0
93,Avusy,2018,1426.0
94,Avusy,2019,1403.0
95,Avusy,2020,1401.0
96,Avusy,2021,1379.0
97,Avusy,2022,1399.0
98,Avusy,2023,1412.0
99,Avusy,2024,1412.0
100,Bardonnex,2000,2097.0
101,Bardonnex,2001,2100.0
102,Bardonnex,2002,2124.0
103,Bardonnex,2003,2106.0
104,Bardonnex,2004,2141.0
105,Bardonnex,2005,2143.0
106,Bardonnex,2006,2108.0
107,Bardonnex,2007,2130.0
108,Bardonnex,2008,2158.0
109,Bardonnex,2009,2187.0
110,Bardonnex,2010,2221.0
111,Bardonnex,2011,2207.0
112,Bardonnex,2012,2232.0
113,Bardonnex,2013,2234.0
114,Bardonnex,2014,2259.0
115,Bardonnex,2015,2264.0
116,Bardonnex,2016,2244.0
117,Bardonnex,2017,2213.0
118,Bardonnex,2018,2295.0
119,Bardonnex,2019,2270.0
120,Bardonnex,2020,2388.0
121,Bardonnex,2021,2484.0
122,Bardonnex,2022,2535.0
123,Bardonnex,2023,2545.0
124,Bardonnex,2024,2547.0
125,Bellevue,2000,1770.0
126,Bellevue,2001,1874.0
127,Bellevue,2002,2312.0
128,Bellevue,2003,2677.0
129,Bellevue,2004,2738.0
130,Bellevue,2005,2783.0
131,Bellevue,2006,2892.0
132,Bellevue,2007,2918.0
133,Bellevue,2008,3135.0
134,Bellevue,2009,3143.0
135,Bellevue,2010,3216.0
136,Bellevue,2011,3169.0
137,Bellevue,2012,3220.0
138,Bellevue,2013,3241.0
139,Bellevue,2014,3238.0
140,Bellevue,2015,3314.0
141,Bellevue,2016,3363.0
142,Bellevue,2017,3321.0
143,Bellevue,2018,3271.0
144,Bellevue,2019,3342.0
145,Bellevue,2020,3457.0
146,Bellevue,2021,3522.0
147,Bellevue,2022,4046.0
148,Bellevue,2023,4081.0
149,Bellevue,2024,4104.0
150,Bernex,2000,8709.0
