,Communes,Superficie
0,Aire-la-Ville,2.93
1,Anières,3.86
2,Avully,4.62
3,Avusy,5.17
4,Bardonnex,5.0
5,Bellevue,4.36
6,Bernex,12.95
7,Carouge,2.7
8,Cartigny,4.38
9,Céligny,4.65
10,Chancy,5.38
11,Chêne-Bougeries,4.14
12,Chêne-Bourg,1.28
13,Choulex,3.91
14,Collex-Bossy,6.89
15,Collonge-Bellerive,6.12
16,Cologny,3.64
17,Confignon,2.77
18,Corsier,2.74
19,Dardagny,8.6
20,Genève,15.89
21,Genthod,2.87
22,Grand-Saconnex,4.38
23,Gy,3.29
24,Hermance,1.43
25,Jussy,11.35
26,Laconnex,3.83
27,Lancy,4.78
28,Meinier,6.95
29,Meyrin,9.94
30,Onex,2.81
31,Perly-Certoux,2.54
32,Plan-les-Ouates,5.85
33,Pregny-Chambésy,3.23
34,Presinge,4.71
35,Puplinge,2.67
36,Russin,4.91
37,Satigny,18.92
38,Soral,2.94
39,Thônex,3.82
40,Troinex,3.43
41,Vandoeuvres,4.42
42,Vernier,7.69
43,Versoix,10.5
44,Veyrier,6.5
