,Commune,Année,Dechet_par_habitant_kg
0,Aire-la-Ville,2003,440.7
1,Aire-la-Ville,2004,442.0
2,Aire-la-Ville,2005,389.2
3,Aire-la-Ville,2006,388.7
4,Aire-la-Ville,2007,377.5
5,Aire-la-Ville,2008,379.1
6,Aire-la-Ville,2009,356.6
7,Aire-la-Ville,2010,352.6
8,Aire-la-Ville,2011,357.6
9,Aire-la-Ville,2012,355.6
10,Aire-la-Ville,2013,367.9
11,Aire-la-Ville,2014,359.6
12,Aire-la-Ville,2015,368.1
13,Aire-la-Ville,2016,366.1
14,Aire-la-Ville,2017,350.4
15,Aire-la-Ville,2018,348.0
16,Aire-la-Ville,2019,340.4
17,Aire-la-Ville,2020,358.2
18,Aire-la-Ville,2021,351.86237765576493
19,Anières,2003,622.3
20,Anières,2004,688.0
21,Anières,2005,679.9
22,Anières,2006,698.3
23,Anières,2007,743.5
24,Anières,2008,670.1
25,Anières,2009,644.4
26,Anières,2010,641.8
27,Anières,2011,664.9
28,Anières,2012,688.6
29,Anières,2013,739.0
30,Anières,2014,746.0
31,Anières,2015,693.7
32,Anières,2016,687.0
33,Anières,2017,648.8
34,Anières,2018,656.9
35,Anières,2019,682.7
36,Anières,2020,702.5
37,Anières,2021,582.7581620314389
38,Avully,2003,482.1
39,Avully,2004,472.9
40,Avully,2005,480.3
41,Avully,2006,498.6
42,Avully,2007,438.6
43,Avully,2008,406.6
44,Avully,2009,435.5
45,Avully,2010,421.1
46,Avully,2011,399.5
47,Avully,2012,420.3
48,Avully,2013,430.8
49,Avully,2014,430.4
50,Avully,2015,395.1
51,Avully,2016,382.7
52,Avully,2017,409.8
53,Avully,2018,384.1
54,Avully,2019,475.4
55,Avully,2020,458.5
56,Avully,2021,484.76334106728535
57,Avusy,2003,447.9
58,Avusy,2004,481.6
59,Avusy,2005,498.3
60,Avusy,2006,492.5
61,Avusy,2007,556.5
62,Avusy,2008,494.1
63,Avusy,2009,482.9
64,Avusy,2010,484.5
65,Avusy,2011,484.0
66,Avusy,2012,478.6
67,Avusy,2013,473.0
68,Avusy,2014,479.6
69,Avusy,2015,482.8
70,Avusy,2016,476.2
71,Avusy,2017,436.0
72,Avusy,2018,458.7
73,Avusy,2019,461.8
74,Avusy,2020,424.2
75,Avusy,2021,483.2859109401314
76,Bardonnex,2003,441.1
77,Bardonnex,2004,494.4
78,Bardonnex,2005,465.7
79,Bardonnex,2006,489.9
80,Bardonnex,2007,489.4
81,Bardonnex,2008,460.5
82,Bardonnex,2009,448.2
83,Bardonnex,2010,448.2
84,Bardonnex,2011,466.8
85,Bardonnex,2012,472.9
86,Bardonnex,2013,447.3
87,Bardonnex,2014,455.2
88,Bardonnex,2015,431.7
89,Bardonnex,2016,437.7
90,Bardonnex,2017,368.2
91,Bardonnex,2018,372.7
92,Bardonnex,2019,440.3
93,Bardonnex,2020,401.9
94,Bardonnex,2021,397.78035426731077
95,Bellevue,2003,530.5
96,Bellevue,2004,541.5
97,Bellevue,2005,558.4
98,Bellevue,2006,455.0
99,Bellevue,2007,329.0
100,Bellevue,2008,337.8
101,Bellevue,2009,326.1
102,Bellevue,2010,342.2
103,Bellevue,2011,336.5
104,Bellevue,2012,335.9
105,Bellevue,2013,332.9
106,Bellevue,2014,346.7
107,Bellevue,2015,327.9
108,Bellevue,2016,343.3
109,Bellevue,2017,302.3
110,Bellevue,2018,316.9
111,Bellevue,2019,309.0
112,Bellevue,2020,330.3
113,Bellevue,2021,328.60335036910845
114,Bernex,2003,434.7
115,Bernex,2004,458.4
116,Bernex,2005,456.5
117,Bernex,2006,451.1
118,Bernex,2007,442.2
119,Bernex,2008,441.8
120,Bernex,2009,428.0
121,Bernex,2010,422.8
122,Bernex,2011,429.8
123,Bernex,2012,438.3
124,Bernex,2013,436.7
125,Bernex,2014,425.4
126,Bernex,2015,395.6
127,Bernex,2016,383.3
128,Bernex,2017,382.5
129,Bernex,2018,364.4
130,Bernex,2019,347.1
131,Bernex,2020,355.4
132,Bernex,2021,371.14032101167317
133,Carouge,2003,413.8
134,Carouge,2004,442.6
135,Carouge,2005,444.5
136,Carouge,2006,450.5
137,Carouge,2007,463.6
138,Carouge,2008,453.4
139,Carouge,2009,447.6
140,Carouge,2010,436.0
141,Carouge,2011,442.7
142,Carouge,2012,458.1
143,Carouge,2013,423.3
144,Carouge,2014,415.2
145,Carouge,2015,364.7
146,Carouge,2016,355.3
147,Carouge,2017,330.6
148,Carouge,2018,334.1
149,Carouge,2019,323.6
150,Carouge,2020,336.5
151,Carouge,2021,326.87392696792364
152,Cartigny,2003,639.4
153,Cartigny,2004,543.8
154,Cartigny,2005,520.0
155,Cartigny,2006,563.9
156,Cartigny,2007,538.3
157,Cartigny,2008,537.8
158,Cartigny,2009,487.6
159,Cartigny,2010,512.0
160,Cartigny,2011,476.3
161,Cartigny,2012,509.9
162,Cartigny,2013,499.7
163,Cartigny,2014,459.8
164,Cartigny,2015,431.5
165,Cartigny,2016,469.8
166,Cartigny,2017,390.5
167,Cartigny,2018,411.5
168,Cartigny,2019,408.6
169,Cartigny,2020,416.8
170,Cartigny,2021,397.18832838773494
171,Chancy,2003,465.1
172,Chancy,2004,497.4
173,Chancy,2005,471.1
174,Chancy,2006,378.1
175,Chancy,2007,461.6
176,Chancy,2008,455.1
177,Chancy,2009,443.1
178,Chancy,2010,392.2
179,Chancy,2011,414.0
180,Chancy,2012,450.4
181,Chancy,2013,390.9
182,Chancy,2014,387.0
183,Chancy,2015,362.9
184,Chancy,2016,361.6
185,Chancy,2017,341.5
186,Chancy,2018,340.3
187,Chancy,2019,333.6
188,Chancy,2020,338.5
189,Chancy,2021,382.44896265560163
190,Choulex,2003,528.0
191,Choulex,2004,619.9
192,Choulex,2005,663.4
193,Choulex,2006,606.8
194,Choulex,2007,620.9
195,Choulex,2008,679.4
196,Choulex,2009,651.7
197,Choulex,2010,616.6
198,Choulex,2011,614.2
199,Choulex,2012,582.7
200,Choulex,2013,646.4
201,Choulex,2014,573.8
202,Choulex,2015,519.9
203,Choulex,2016,536.2
204,Choulex,2017,538.7
205,Choulex,2018,485.3
206,Choulex,2019,490.0
207,Choulex,2020,487.2
208,Choulex,2021,471.6603148301574
209,Chêne-Bougeries,2003,472.3
210,Chêne-Bougeries,2004,523.5
211,Chêne-Bougeries,2005,530.8
212,Chêne-Bougeries,2006,549.7
213,Chêne-Bougeries,2007,563.9
214,Chêne-Bougeries,2008,554.9
215,Chêne-Bougeries,2009,463.1
216,Chêne-Bougeries,2010,508.0
217,Chêne-Bougeries,2011,502.4
218,Chêne-Bougeries,2012,490.5
219,Chêne-Bougeries,2013,485.3
220,Chêne-Bougeries,2014,476.9
221,Chêne-Bougeries,2015,479.1
222,Chêne-Bougeries,2016,469.9
223,Chêne-Bougeries,2017,415.0
224,Chêne-Bougeries,2018,444.8
225,Chêne-Bougeries,2019,433.8
226,Chêne-Bougeries,2020,436.7
227,Chêne-Bougeries,2021,427.25293714285715
228,Chêne-Bourg,2003,453.7
229,Chêne-Bourg,2004,463.6
230,Chêne-Bourg,2005,455.6
231,Chêne-Bourg,2006,446.4
232,Chêne-Bourg,2007,465.9
233,Chêne-Bourg,2008,465.0
234,Chêne-Bourg,2009,430.8
235,Chêne-Bourg,2010,431.3
236,Chêne-Bourg,2011,429.3
237,Chêne-Bourg,2012,437.1
238,Chêne-Bourg,2013,414.7
239,Chêne-Bourg,2014,396.0
240,Chêne-Bourg,2015,360.9
241,Chêne-Bourg,2016,384.9
242,Chêne-Bourg,2017,374.8
243,Chêne-Bourg,2018,375.0
244,Chêne-Bourg,2019,360.7
245,Chêne-Bourg,2020,369.8
246,Chêne-Bourg,2021,350.10178062284706
247,Collex-Bossy,2003,525.2
248,Collex-Bossy,2004,498.0
249,Collex-Bossy,2005,489.4
250,Collex-Bossy,2006,486.5
251,Collex-Bossy,2007,484.2
252,Collex-Bossy,2008,479.5
253,Collex-Bossy,2009,474.6
254,Collex-Bossy,2010,439.7
255,Collex-Bossy,2011,436.2
256,Collex-Bossy,2012,457.2
257,Collex-Bossy,2013,454.1
258,Collex-Bossy,2014,481.8
259,Collex-Bossy,2015,464.3
260,Collex-Bossy,2016,512.9
261,Collex-Bossy,2017,474.9
262,Collex-Bossy,2018,463.4
263,Collex-Bossy,2019,470.8
264,Collex-Bossy,2020,491.8
265,Collex-Bossy,2021,472.406868451688
266,Collonge-Bellerive,2003,645.3
267,Collonge-Bellerive,2004,668.5
268,Collonge-Bellerive,2005,684.9
269,Collonge-Bellerive,2006,662.4
270,Collonge-Bellerive,2007,659.1
271,Collonge-Bellerive,2008,653.7
272,Collonge-Bellerive,2009,641.3
273,Collonge-Bellerive,2010,639.2
274,Collonge-Bellerive,2011,645.3
275,Collonge-Bellerive,2012,685.4
276,Collonge-Bellerive,2013,688.2
277,Collonge-Bellerive,2014,640.9
278,Collonge-Bellerive,2015,598.9
279,Collonge-Bellerive,2016,600.2
280,Collonge-Bellerive,2017,569.8
281,Collonge-Bellerive,2018,574.0
282,Collonge-Bellerive,2019,584.6
283,Collonge-Bellerive,2020,598.8
284,Collonge-Bellerive,2021,585.7500362022656
285,Cologny,2003,631.5
286,Cologny,2004,633.8
287,Cologny,2005,647.8
288,Cologny,2006,642.5
289,Cologny,2007,648.7
290,Cologny,2008,648.0
291,Cologny,2009,616.6
292,Cologny,2010,613.1
293,Cologny,2011,617.2
294,Cologny,2012,657.9
295,Cologny,2013,638.4
296,Cologny,2014,596.4
297,Cologny,2015,535.6
298,Cologny,2016,540.8
299,Cologny,2017,527.4
300,Cologny,2018,488.5
301,Cologny,2019,494.9
302,Cologny,2020,498.1
303,Cologny,2021,702.5295902883155
304,Confignon,2003,463.5
305,Confignon,2004,496.4
306,Confignon,2005,464.5
307,Confignon,2006,409.0
308,Confignon,2007,358.8
309,Confignon,2008,385.3
310,Confignon,2009,416.2
311,Confignon,2010,427.6
312,Confignon,2011,415.4
313,Confignon,2012,426.9
314,Confignon,2013,423.2
315,Confignon,2014,401.8
316,Confignon,2015,386.3
317,Confignon,2016,391.3
318,Confignon,2017,381.5
319,Confignon,2018,373.7
320,Confignon,2019,388.6
321,Confignon,2020,390.9
322,Confignon,2021,367.7054314498467
323,Corsier,2003,578.7
324,Corsier,2004,669.6
325,Corsier,2005,667.9
326,Corsier,2006,697.8
