,Commune,Année,electric_cars_per_charging_spot,elec_consumption_mwh_per_year_per_capita,renelec_production_mwh_per_year_per_capita
100296,Aire-la-Ville,2023-11-30,8.5,3.4474,34.5596
100297,Aire-la-Ville,2023-12-31,18.5,3.4965,34.5444
100298,Aire-la-Ville,2024-01-31,20.0,3.5456,34.6373
100299,Aire-la-Ville,2024-02-29,20.0,3.6118,34.5283
100300,Aire-la-Ville,2024-03-31,6.8,3.6118,34.5596
100301,Aire-la-Ville,2024-04-30,10.8,3.5827,34.3824
100302,Aire-la-Ville,2024-05-31,21.0,3.5632,31.7834
100303,Aire-la-Ville,2024-06-30,20.5,3.5534,31.7834
100304,Aire-la-Ville,2024-07-31,21.5,3.5534,31.7834
100305,Aire-la-Ville,2024-08-31,21.5,3.3384,31.0361
100307,Aire-la-Ville,2024-10-31,21.5,3.6627,31.3906
100308,Aire-la-Ville,2024-11-30,21.5,3.6698,31.467
100309,Aire-la-Ville,2024-12-31,21.5,3.628,31.4102
100310,Aire-la-Ville,2025-01-31,21.5,3.5703,31.0121
100311,Aire-la-Ville,2025-02-28,23.5,3.1669,30.718
100312,Aire-la-Ville,2025-03-31,24.0,3.1553,30.6006
100345,Anières,2023-11-30,29.5,3.5403,0.2223
100346,Anières,2023-12-31,30.0,3.5374,0.224
100347,Anières,2024-01-31,29.0,3.5465,0.2268
100348,Anières,2024-02-29,28.0,3.5699,0.2285
100349,Anières,2024-03-31,29.5,3.5699,0.2277
100350,Anières,2024-04-30,31.0,3.5656,0.2417
100351,Anières,2024-05-31,31.5,3.5417,0.2673
100352,Anières,2024-06-30,34.0,3.5347,0.2673
100353,Anières,2024-07-31,10.1,3.5347,0.2673
100354,Anières,2024-08-31,10.1,3.2925,0.3177
100355,Anières,2024-09-30,10.6,3.6167,0.3346
100356,Anières,2024-10-31,11.1,3.6192,0.3453
100357,Anières,2024-11-30,10.9,3.6312,0.3428
100358,Anières,2024-12-31,11.4,3.6679,0.356
100359,Anières,2025-01-31,11.4,3.7046,0.3568
100360,Anières,2025-02-28,11.0,3.2768,0.3717
100361,Anières,2025-03-31,11.0,3.2783,0.3699
100394,Avully,2023-11-30,5.5,1.8671,125.5535
100395,Avully,2023-12-31,5.5,1.8682,130.4151
100396,Avully,2024-01-31,6.0,1.8812,133.9985
100397,Avully,2024-02-29,6.0,1.8941,136.4255
100398,Avully,2024-03-31,6.5,1.8941,141.439
100399,Avully,2024-04-30,7.0,1.9015,142.7058
100400,Avully,2024-05-31,7.5,1.8878,146.6187
100401,Avully,2024-06-30,7.5,1.8795,146.6187
100402,Avully,2024-07-31,7.5,1.8795,146.6187
100403,Avully,2024-08-31,7.5,1.8783,155.2851
100404,Avully,2024-09-30,8.0,1.9366,155.8417
100405,Avully,2024-10-31,8.5,1.9265,155.8899
100406,Avully,2024-11-30,8.5,1.9259,160.5905
100407,Avully,2024-12-31,8.5,1.9336,156.2475
100408,Avully,2025-01-31,8.5,1.9336,153.907
100409,Avully,2025-02-28,10.0,1.715,152.3363
100410,Avully,2025-03-31,10.5,1.73,150.9916
100443,Avusy,2023-11-30,8.0,3.5311,0.3491
100444,Avusy,2023-12-31,8.3,3.5019,0.3498
100445,Avusy,2024-01-31,8.3,3.5408,0.3536
100446,Avusy,2024-02-29,8.3,3.5453,0.3558
100447,Avusy,2024-03-31,8.8,3.5453,0.3536
100448,Avusy,2024-04-30,8.8,3.5192,0.3816
