,Commune,Année,Nombre_de_logements
0,Aire-la-Ville,2009,24
1,Aire-la-Ville,2010,24
2,Aire-la-Ville,2011,24
3,Aire-la-Ville,2012,24
4,Aire-la-Ville,2013,24
5,Aire-la-Ville,2014,24
6,Aire-la-Ville,2015,-
7,Aire-la-Ville,2016,-
8,Aire-la-Ville,2017,-
9,Aire-la-Ville,2018,-
10,Aire-la-Ville,2019,-
11,Aire-la-Ville,2020,-
12,Aire-la-Ville,2021,-
13,Aire-la-Ville,2022,-
14,Aire-la-Ville,2023,-
15,Aire-la-Ville,2024,-
16,Anières,2009,24
17,Anières,2010,24
18,Anières,2011,24
19,Anières,2012,24
20,Anières,2013,24
21,Anières,2014,24
22,Anières,2015,24
23,Anières,2016,24
24,Anières,2017,24
25,Anières,2018,24
26,Anières,2019,24
27,Anières,2020,24
28,Anières,2021,24
29,Anières,2022,24
30,Anières,2023,24
31,Anières,2024,24
32,Avully,2009,30
33,Avully,2010,30
34,Avully,2011,30
35,Avully,2012,30
36,Avully,2013,30
37,Avully,2014,30
38,Avully,2015,30
39,Avully,2016,30
40,Avully,2017,30
41,Avully,2018,15
42,Avully,2019,15
43,Avully,2020,15
44,Avully,2021,15
45,Avully,2022,15
46,Avully,2023,-
47,Avully,2024,-
48,Avusy,2009,16
49,Avusy,2010,16
50,Avusy,2011,16
51,Avusy,2012,16
52,Avusy,2013,16
53,Avusy,2014,-
54,Avusy,2015,-
55,Avusy,2016,-
56,Avusy,2017,-
57,Avusy,2018,-
58,Avusy,2019,-
59,Avusy,2020,-
60,Avusy,2021,-
61,Avusy,2022,-
62,Avusy,2023,-
63,Avusy,2024,-
64,Bardonnex,2009,37
65,Bardonnex,2010,37
66,Bardonnex,2011,37
67,Bardonnex,2012,37
68,Bardonnex,2013,21
69,Bardonnex,2014,21
70,Bardonnex,2015,21
71,Bardonnex,2016,21
72,Bardonnex,2017,43
73,Bardonnex,2018,43
74,Bardonnex,2019,43
75,Bardonnex,2020,79
76,Bardonnex,2021,98
77,Bardonnex,2022,98
78,Bardonnex,2023,98
79,Bardonnex,2024,98
80,Bellevue,2009,222
81,Bellevue,2010,222
82,Bellevue,2011,222
83,Bellevue,2012,222
84,Bellevue,2013,221
85,Bellevue,2014,221
86,Bellevue,2015,221
87,Bellevue,2016,221
88,Bellevue,2017,221
89,Bellevue,2018,221
90,Bellevue,2019,222
91,Bellevue,2020,242
92,Bellevue,2021,400
93,Bellevue,2022,400
94,Bellevue,2023,350
95,Bellevue,2024,350
96,Bernex,2009,228
97,Bernex,2010,228
98,Bernex,2011,228
99,Bernex,2012,242
100,Bernex,2013,211
101,Bernex,2014,203
102,Bernex,2015,195
103,Bernex,2016,196
104,Bernex,2017,196
105,Bernex,2018,196
106,Bernex,2019,196
107,Bernex,2020,196
108,Bernex,2021,196
109,Bernex,2022,196
110,Bernex,2023,295
111,Bernex,2024,295
112,Carouge,2009,1593
113,Carouge,2010,1674
114,Carouge,2011,1679
115,Carouge,2012,1555
116,Carouge,2013,1340
117,Carouge,2014,1470
118,Carouge,2015,1369
119,Carouge,2016,1314
120,Carouge,2017,1382
121,Carouge,2018,1566
122,Carouge,2019,1489
123,Carouge,2020,1501
124,Carouge,2021,1501
125,Carouge,2022,1457
126,Carouge,2023,1415
127,Carouge,2024,1548
128,Cartigny,2009,-
129,Cartigny,2010,-
130,Cartigny,2011,-
131,Cartigny,2012,-
132,Cartigny,2013,-
133,Cartigny,2014,-
134,Cartigny,2015,-
135,Cartigny,2016,-
136,Cartigny,2017,-
137,Cartigny,2018,-
138,Cartigny,2019,-
139,Cartigny,2020,-
140,Cartigny,2021,-
141,Cartigny,2022,-
142,Cartigny,2023,-
143,Cartigny,2024,-
144,Chancy,2009,36
145,Chancy,2010,36
146,Chancy,2011,36
