,Commune,Année,prix_m2_marche_libre_Mediane
0,Autres communes de l'Est du canton,2011,7791.0
1,Autres communes de l'Est du canton,2012,9830.0
2,Autres communes de l'Est du canton,2013,7257.0
3,Autres communes de l'Est du canton,2014,6941.0
4,Autres communes de l'Est du canton,2015,6604.0
5,Autres communes de l'Est du canton,2016,7904.0
6,Autres communes de l'Est du canton,2017,7379.0
7,Autres communes de l'Est du canton,2018,6923.0
8,Autres communes de l'Est du canton,2019,8359.0
9,Autres communes de l'Est du canton,2020,8519.0
10,Autres communes de l'Est du canton,2021,8902.0
11,Autres communes de l'Est du canton,2022,8257.0
12,Autres communes de l'Est du canton,2023,8679.0
13,Autres communes de l'Ouest du canton,2011,6780.0
14,Autres communes de l'Ouest du canton,2012,6774.0
15,Autres communes de l'Ouest du canton,2013,6835.0
16,Autres communes de l'Ouest du canton,2014,6790.0
17,Autres communes de l'Ouest du canton,2015,7467.0
18,Autres communes de l'Ouest du canton,2016,5774.0
19,Autres communes de l'Ouest du canton,2017,6306.0
20,Autres communes de l'Ouest du canton,2018,6913.0
21,Autres communes de l'Ouest du canton,2019,6888.0
22,Autres communes de l'Ouest du canton,2020,7257.0
23,Autres communes de l'Ouest du canton,2021,6866.0
24,Autres communes de l'Ouest du canton,2022,7665.0
25,Autres communes de l'Ouest du canton,2023,9271.0
26,Autres communes de la rive gauche du lac,2011,9437.0
27,Autres communes de la rive gauche du lac,2012,9932.0
28,Autres communes de la rive gauche du lac,2013,9906.0
29,Autres communes de la rive gauche du lac,2014,10831.0
30,Autres communes de la rive gauche du lac,2015,7739.0
31,Autres communes de la rive gauche du lac,2016,10727.0
32,Autres communes de la rive gauche du lac,2017,9060.0
33,Autres communes de la rive gauche du lac,2018,8657.0
34,Autres communes de la rive gauche du lac,2019,10085.0
35,Autres communes de la rive gauche du lac,2020,9926.0
36,Autres communes de la rive gauche du lac,2021,9805.0
37,Autres communes de la rive gauche du lac,2022,11128.0
38,Autres communes de la rive gauche du lac,2023,11965.0
39,Autres communes du Nord du canton / rive droite du lac,2012,
40,Autres communes du Nord du canton / rive droite du lac,2013,8314.0
41,Autres communes du Nord du canton / rive droite du lac,2014,7215.0
42,Autres communes du Nord du canton / rive droite du lac,2015,
43,Autres communes du Nord du canton / rive droite du lac,2016,6943.0
44,Autres communes du Nord du canton / rive droite du lac,2017,8346.0
45,Autres communes du Nord du canton / rive droite du lac,2018,8131.0
46,Autres communes du Nord du canton / rive droite du lac,2019,8589.0
47,Autres communes du Nord du canton / rive droite du lac,2021,10396.0
48,Autres communes du Nord du canton / rive droite du lac,2022,9412.0
49,Autres communes du Nord du canton / rive droite du lac,2023,10833.0
50,Autres communes du Nord du canton / rive droite du lac ,2011,7876.0
51,Autres communes du Nord du canton / rive droite du lac ,2020,9051.0
52,Autres communes du Sud du canton,2012,6976.0
53,Autres communes du Sud du canton,2013,8548.0
54,Autres communes du Sud du canton,2014,7857.0
55,Autres communes du Sud du canton,2015,7450.0
56,Autres communes du Sud du canton,2016,7565.0
57,Autres communes du Sud du canton,2017,7102.0
58,Autres communes du Sud du canton,2018,7808.0
59,Autres communes du Sud du canton,2019,7895.0
60,Autres communes du Sud du canton,2020,7782.0
61,Autres communes du Sud du canton,2021,8889.0
62,Autres communes du Sud du canton,2022,8797.0
63,Autres communes du Sud du canton,2023,9628.0
64,Autres communes du Sud du canton ,2011,7779.0
65,Bernex,2011,7761.0
66,Bernex,2012,7827.0
67,Bernex,2013,8250.0
68,Bernex,2014,7692.0
69,Bernex,2015,7913.0
70,Bernex,2016,7878.0
71,Bernex,2017,6944.0
72,Bernex,2018,7059.0
73,Bernex,2019,7839.0
74,Bernex,2020,7904.0
75,Bernex,2021,8027.0
76,Bernex,2022,9008.0
77,Bernex,2023,5596.0
78,Carouge,2011,6601.0
79,Carouge,2012,10935.0
80,Carouge,2013,9669.0
81,Carouge,2014,6551.0
82,Carouge,2015,7943.0
83,Carouge,2016,6514.0
84,Carouge,2017,6627.0
85,Carouge,2018,6232.0
86,Carouge,2019,9360.0
87,Carouge,2020,9449.0
88,Carouge,2021,8842.0
89,Carouge,2022,10302.0
90,Carouge,2023,10734.0
91,Chêne-Bougeries,2011,10117.0
92,Chêne-Bougeries,2012,7428.0
93,Chêne-Bougeries,2013,9322.0
94,Chêne-Bougeries,2014,8661.0
95,Chêne-Bougeries,2015,10505.0
96,Chêne-Bougeries,2016,5889.0
97,Chêne-Bougeries,2017,8402.0
98,Chêne-Bougeries,2018,8988.0
99,Chêne-Bougeries,2019,10330.0
100,Chêne-Bougeries,2020,11053.0
101,Chêne-Bougeries,2021,11908.0
102,Chêne-Bougeries,2022,12702.0
103,Chêne-Bougeries,2023,8176.0
104,Cologny,2011,11628.0
105,Cologny,2012,12847.0
