,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
0,Aire-la-Ville,2010,182788,56393
1,Aire-la-Ville,2011,185509,61451
2,Aire-la-Ville,2012,188721,58982
3,Aire-la-Ville,2013,183835,60822
4,Aire-la-Ville,2014,188643,62734
5,Aire-la-Ville,2015,188138,58200
6,Aire-la-Ville,2016,187908,55509
7,Aire-la-Ville,2017,186688,61058
8,Aire-la-Ville,2018,193015,59963
9,Anières,2010,216706,43970
10,Anières,2011,222602,42002
11,Anières,2012,205514,43500
12,Anières,2013,226128,44874
13,Anières,2014,220801,45329
14,Anières,2015,219222,47882
15,Anières,2016,224029,47185
16,Anières,2017,222955,47671
17,Anières,2018,228257,47620
18,Avully,2010,131844,54340
19,Avully,2011,130994,55390
20,Avully,2012,133958,57703
21,Avully,2013,132916,56804
22,Avully,2014,134381,54730
23,Avully,2015,134873,53734
24,Avully,2016,137022,54058
25,Avully,2017,136227,53406
26,Avully,2018,137767,55927
27,Avusy,2010,183475,63028
28,Avusy,2011,190231,61992
29,Avusy,2012,191631,58292
30,Avusy,2013,200180,57217
31,Avusy,2014,200631,55619
32,Avusy,2015,199997,56009
33,Avusy,2016,200444,58237
34,Avusy,2017,207792,59610
35,Avusy,2018,206158,55868
36,Bardonnex,2010,160449,58971
37,Bardonnex,2011,160027,58205
38,Bardonnex,2012,159735,58661
39,Bardonnex,2013,163216,53962
40,Bardonnex,2014,161137,56051
41,Bardonnex,2015,161780,58660
42,Bardonnex,2016,163253,60360
43,Bardonnex,2017,161211,59066
44,Bardonnex,2018,156786,60901
45,Bellevue,2010,146368,51771
46,Bellevue,2011,149004,52873
47,Bellevue,2012,151768,50292
48,Bellevue,2013,153588,51451
49,Bellevue,2014,156314,52164
50,Bellevue,2015,156489,51020
51,Bellevue,2016,154403,50000
52,Bellevue,2017,155232,48174
53,Bellevue,2018,150063,47291
54,Bernex,2010,153063,56946
55,Bernex,2011,153848,57160
56,Bernex,2012,152414,55228
57,Bernex,2013,154028,55063
58,Bernex,2014,151242,60037
59,Bernex,2015,153783,59252
60,Bernex,2016,153503,58467
61,Bernex,2017,155455,58272
62,Bernex,2018,157646,57438
63,Carouge,2010,115621,50316
64,Carouge,2011,116906,51807
65,Carouge,2012,118173,51087
66,Carouge,2013,120820,51701
67,Carouge,2014,123167,53802
68,Carouge,2015,121181,53345
69,Carouge,2016,122264,53017
70,Carouge,2017,125665,53553
71,Carouge,2018,126947,54045
72,Cartigny,2010,187375,51580
73,Cartigny,2011,201529,61646
74,Cartigny,2012,198741,58299
75,Cartigny,2013,191206,54838
76,Cartigny,2014,190971,56123
77,Cartigny,2015,189844,58961
78,Cartigny,2016,189893,68000
79,Cartigny,2017,193964,65367
80,Cartigny,2018,194266,66624
81,Chancy,2010,164892,65308
82,Chancy,2011,167837,64145
83,Chancy,2012,165498,62216
84,Chancy,2013,173140,58514
85,Chancy,2014,163957,57651
86,Chancy,2015,165441,59814
87,Chancy,2016,164167,61091
88,Chancy,2017,161049,59682
89,Chancy,2018,157773,58492
90,Choulex,2010,194729,52520
91,Choulex,2011,197154,53160
92,Choulex,2012,204876,53355
93,Choulex,2013,202220,56457
94,Choulex,2014,205657,58153
95,Choulex,2015,200980,61662
96,Choulex,2016,200912,60938
97,Choulex,2017,205426,68489
98,Choulex,2018,207004,66018
99,Chêne-Bougeries,2010,170103,45103
100,Chêne-Bougeries,2011,165352,43184
101,Chêne-Bougeries,2012,163664,42905
102,Chêne-Bougeries,2013,169679,44696
103,Chêne-Bougeries,2014,167293,51867
104,Chêne-Bougeries,2015,169881,52133
105,Chêne-Bougeries,2016,172390,54264
106,Chêne-Bougeries,2017,169825,54143
107,Chêne-Bougeries,2018,174116,55642
108,Chêne-Bourg,2010,118435,46821
109,Chêne-Bourg,2011,117206,45783
110,Chêne-Bourg,2012,119109,44993
111,Chêne-Bourg,2013,119933,44834
112,Chêne-Bourg,2014,120801,48297
113,Chêne-Bourg,2015,116634,48186
114,Chêne-Bourg,2016,120248,47904
115,Chêne-Bourg,2017,118188,48905
116,Chêne-Bourg,2018,121711,48899
117,Collex-Bossy,2010,179832,48560
118,Collex-Bossy,2011,179924,49800
119,Collex-Bossy,2012,185983,42661
120,Collex-Bossy,2013,181879,51295
121,Collex-Bossy,2014,180507,56891
122,Collex-Bossy,2015,180968,59800
123,Collex-Bossy,2016,185041,60233
124,Collex-Bossy,2017,184096,59375
125,Collex-Bossy,2018,189717,56667
126,Collonge-Bellerive,2010,200746,47456
127,Collonge-Bellerive,2011,200779,46884
128,Collonge-Bellerive,2012,197355,44079
129,Collonge-Bellerive,2013,206573,43736
130,Collonge-Bellerive,2014,203507,46991
131,Collonge-Bellerive,2015,205708,48059
132,Collonge-Bellerive,2016,208446,48187
133,Collonge-Bellerive,2017,214146,50152
134,Collonge-Bellerive,2018,225283,51241
135,Cologny,2010,204172,49956
136,Cologny,2011,201866,49199
137,Cologny,2012,200093,47603
138,Cologny,2013,201494,47797
139,Cologny,2014,196426,59862
140,Cologny,2015,200131,59918
141,Cologny,2016,198972,62066
142,Cologny,2017,203566,60297
143,Cologny,2018,204900,63910
144,Confignon,2010,163576,52453
145,Confignon,2011,162678,53181
146,Confignon,2012,164474,50739
147,Confignon,2013,164214,48295
148,Confignon,2014,165519,51783
149,Confignon,2015,164997,53479
150,Confignon,2016,163826,54767
151,Confignon,2017,166537,53647
152,Confignon,2018,172304,54563
153,Corsier,2010,193607,51483
