OBJECTID;COMMUNE;NO_COMM;ABREVIATION;NO_COM_FEDERAL;LIEN_WWW;SHAPE.AREA;SHAPE.LEN
6;Choulex;14;Ch;6614;https://www.acg.ch/?q=node/158;3908909.85413652;12800.9102226779
7;Collonge-Bellerive;16;C.Be;6616;https://www.acg.ch/?q=node/158;10692805.2556877;14131.3308385128
13;Pregny-Chambésy;37;Py;6634;https://www.acg.ch/?q=node/158;6269099.00726138;11450.9588174858
14;Genthod;25;Gd;6622;https://www.acg.ch/?q=node/158;5300323.84863187;9667.79691368281
15;Bellevue;6;Bl;6606;https://www.acg.ch/?q=node/158;6346794.50458133;14100.735353978
46;Bernex;7;Bx;6607;https://www.acg.ch/?q=node/158;12953893.7495298;23207.4387044333
47;Satigny;41;Sy;6638;https://www.acg.ch/?q=node/158;18921147.6515497;20674.7087673657
48;Russin;40;Ru;6637;https://www.acg.ch/?q=node/158;4909794.7429012;12489.6806644497
8;Plan-les-Ouates;36;PLO;6633;https://www.acg.ch/?q=node/158;5853823.95539312;13027.3723560119
9;Presinge;38;Pr;6635;https://www.acg.ch/?q=node/158;4707521.68715385;13336.4516384864
10;Corsier;19;Cr;6619;https://www.acg.ch/?q=node/158;4292776.45356208;12600.0792306927
11;Chêne-Bourg;13;C.Bg;6613;https://www.acg.ch/?q=node/158;1280775.70387546;7290.23646512607
12;Grand-Saconnex;26;G.S.;6623;https://www.acg.ch/?q=node/158;4382041.84372105;10034.4599641949
1;Meinier;32;Mr;6629;https://www.acg.ch/?q=node/158;6953480.96601449;15469.4680484342
2;Avusy;4;As;6604;https://www.acg.ch/?q=node/158;5172039.17455692;12501.1501854198
3;Perly-Certoux;35;P.C.;6632;https://www.acg.ch/?q=node/158;2536601.83154243;7387.27166083057
4;Laconnex;30;Lx;6627;https://www.acg.ch/?q=node/158;3831199.10536772;9049.01870221439
5;Vandoeuvres;45;Va;6642;https://www.acg.ch/?q=node/158;4419792.22021358;9288.66133212171
16;Cologny;17;Co;6617;https://www.acg.ch/?q=node/158;7432120.01154529;14231.6935249647
17;Confignon;18;Cn;6618;https://www.acg.ch/?q=node/158;2772010.71823756;10900.0745581567
18;Onex;34;Ox;6631;https://www.acg.ch/?q=node/158;2813932.56074989;8800.05439546464
19;Avully;3;Al;6603;https://www.acg.ch/?q=node/158;4618320.44312007;11264.7853248058
20;Aire-la-Ville;1;A.V.;6601;https://www.acg.ch/?q=node/158;2926523.22041564;8187.67433084682
21;Cartigny;9;Ct;6609;https://www.acg.ch/?q=node/158;4383480.31674098;9592.31855246448
43;Céligny;10;Ce;6610;https://www.acg.ch/?q=node/158;8585919.62554708;20026.9070267638
45;Soral;42;Sl;6639;https://www.acg.ch/?q=node/158;2942051.19474893;12467.4550937562
22;Gy;27;Gy;6624;https://www.acg.ch/?q=node/158;3286288.67175096;15240.2816909159
23;Vernier;46;Vn;6643;https://www.acg.ch/?q=node/158;7687335.00313098;16936.1723418629
24;Genève-Petit-Saconnex;23;P.S;6621;https://www.acg.ch/?q=node/158;7535124.0518277;16222.3493665732
25;Genève-Cité;21;V.G.;6621;https://www.acg.ch/?q=node/158;3039908.82316323;8602.83551087515
26;Troinex;44;Tr;6641;https://www.acg.ch/?q=node/158;3429907.71300309;9160.55490426903
27;Bardonnex;5;Ba;6605;https://www.acg.ch/?q=node/158;4996992.83663191;12285.5418068964
28;Chancy;11;Cy;6611;https://www.acg.ch/?q=node/158;5380929.02579446;13750.0235257876
29;Jussy;29;Ju;6626;https://www.acg.ch/?q=node/158;11350265.2189343;18096.6015458076
30;Meyrin;33;Mn;6630;https://www.acg.ch/?q=node/158;9937363.13411985;15943.2371265169
31;Collex-Bossy;15;Cx;6615;https://www.acg.ch/?q=node/158;6886683.13665516;14215.5345951883
32;Veyrier;48;Vy;6645;https://www.acg.ch/?q=node/158;6496709.65385871;13652.67953931
33;Thônex;43;Th;6640;https://www.acg.ch/?q=node/158;3820220.35723567;13905.9675600383
34;Puplinge;39;Pu;6636;https://www.acg.ch/?q=node/158;2672172.4171972;8547.90980364602
35;Anières;2;An;6602;https://www.acg.ch/?q=node/158;8771934.52647836;14345.2397275264
36;Hermance;28;He;6625;https://www.acg.ch/?q=node/158;4905640.41698055;10888.8112392036
37;Versoix;47;Vs;6644;https://www.acg.ch/?q=node/158;15149980.8247148;22048.9275613227
38;Carouge;8;Ca;6608;https://www.acg.ch/?q=node/158;2696646.87855928;8993.04723276167
39;Genève-Eaux-Vives;22;E.V.;6621;https://www.acg.ch/?q=node/158;3098501.5890204;8717.23304219249
40;Chêne-Bougeries;12;C.Bs;6612;https://www.acg.ch/?q=node/158;4140332.24191551;11933.2905935162
41;Lancy;31;Ly;6628;https://www.acg.ch/?q=node/158;4774292.1260432;14848.3790977982
42;Dardagny;20;Da;6620;https://www.acg.ch/?q=node/158;8598279.29147327;17973.2104423428
44;Genève-Plainpalais;24;Pl.;6621;https://www.acg.ch/?q=node/158;4622710.23497452;14416.4117582669
