,Commune,Année,Nombre_de_logements
0,Aire-la-Ville,2009,24.0
1,Aire-la-Ville,2010,24.0
2,Aire-la-Ville,2011,24.0
3,Aire-la-Ville,2012,24.0
4,Aire-la-Ville,2013,24.0
5,Aire-la-Ville,2014,24.0
6,Aire-la-Ville,2015,
7,Aire-la-Ville,2016,
8,Aire-la-Ville,2017,
9,Aire-la-Ville,2018,
10,Aire-la-Ville,2019,
11,Aire-la-Ville,2020,
12,Aire-la-Ville,2021,
13,Aire-la-Ville,2022,
14,Aire-la-Ville,2023,
15,Aire-la-Ville,2024,
16,Anières,2009,24.0
17,Anières,2010,24.0
18,Anières,2011,24.0
19,Anières,2012,24.0
20,Anières,2013,24.0
21,Anières,2014,24.0
22,Anières,2015,24.0
23,Anières,2016,24.0
24,Anières,2017,24.0
25,Anières,2018,24.0
26,Anières,2019,24.0
27,Anières,2020,24.0
28,Anières,2021,24.0
29,Anières,2022,24.0
30,Anières,2023,24.0
31,Anières,2024,24.0
32,Avully,2009,30.0
33,Avully,2010,30.0
34,Avully,2011,30.0
35,Avully,2012,30.0
36,Avully,2013,30.0
37,Avully,2014,30.0
38,Avully,2015,30.0
39,Avully,2016,30.0
40,Avully,2017,30.0
41,Avully,2018,15.0
42,Avully,2019,15.0
43,Avully,2020,15.0
44,Avully,2021,15.0
45,Avully,2022,15.0
46,Avully,2023,
47,Avully,2024,
48,Avusy,2009,16.0
49,Avusy,2010,16.0
50,Avusy,2011,16.0
51,Avusy,2012,16.0
52,Avusy,2013,16.0
53,Avusy,2014,
54,Avusy,2015,
55,Avusy,2016,
56,Avusy,2017,
57,Avusy,2018,
58,Avusy,2019,
59,Avusy,2020,
60,Avusy,2021,
61,Avusy,2022,
62,Avusy,2023,
63,Avusy,2024,
64,Bardonnex,2009,37.0
65,Bardonnex,2010,37.0
66,Bardonnex,2011,37.0
67,Bardonnex,2012,37.0
68,Bardonnex,2013,21.0
69,Bardonnex,2014,21.0
70,Bardonnex,2015,21.0
71,Bardonnex,2016,21.0
72,Bardonnex,2017,43.0
73,Bardonnex,2018,43.0
74,Bardonnex,2019,43.0
75,Bardonnex,2020,79.0
76,Bardonnex,2021,98.0
77,Bardonnex,2022,98.0
78,Bardonnex,2023,98.0
79,Bardonnex,2024,98.0
80,Bellevue,2009,222.0
81,Bellevue,2010,222.0
82,Bellevue,2011,222.0
83,Bellevue,2012,222.0
84,Bellevue,2013,221.0
85,Bellevue,2014,221.0
86,Bellevue,2015,221.0
87,Bellevue,2016,221.0
88,Bellevue,2017,221.0
89,Bellevue,2018,221.0
90,Bellevue,2019,222.0
91,Bellevue,2020,242.0
92,Bellevue,2021,400.0
93,Bellevue,2022,400.0
94,Bellevue,2023,350.0
95,Bellevue,2024,350.0
96,Bernex,2009,228.0
97,Bernex,2010,228.0
98,Bernex,2011,228.0
99,Bernex,2012,242.0
100,Bernex,2013,211.0
101,Bernex,2014,203.0
102,Bernex,2015,195.0
103,Bernex,2016,196.0
104,Bernex,2017,196.0
105,Bernex,2018,196.0
106,Bernex,2019,196.0
107,Bernex,2020,196.0
108,Bernex,2021,196.0
109,Bernex,2022,196.0
110,Bernex,2023,295.0
111,Bernex,2024,295.0
112,Carouge,2009,1593.0
113,Carouge,2010,1674.0
114,Carouge,2011,1679.0
115,Carouge,2012,1555.0
116,Carouge,2013,1340.0
117,Carouge,2014,1470.0
118,Carouge,2015,1369.0
119,Carouge,2016,1314.0
120,Carouge,2017,1382.0
121,Carouge,2018,1566.0
122,Carouge,2019,1489.0
123,Carouge,2020,1501.0
124,Carouge,2021,1501.0
125,Carouge,2022,1457.0
126,Carouge,2023,1415.0
127,Carouge,2024,1548.0
128,Cartigny,2009,
129,Cartigny,2010,
130,Cartigny,2011,
131,Cartigny,2012,
132,Cartigny,2013,
133,Cartigny,2014,
134,Cartigny,2015,
135,Cartigny,2016,
136,Cartigny,2017,
137,Cartigny,2018,
138,Cartigny,2019,
139,Cartigny,2020,
140,Cartigny,2021,
141,Cartigny,2022,
142,Cartigny,2023,
143,Cartigny,2024,
144,Chancy,2009,36.0
145,Chancy,2010,36.0
146,Chancy,2011,36.0
147,Chancy,2012,36.0
148,Chancy,2013,80.0
149,Chancy,2014,98.0
150,Chancy,2015,98.0
151,Chancy,2016,99.0
152,Chancy,2017,99.0
153,Chancy,2018,99.0
154,Chancy,2019,99.0
155,Chancy,2020,99.0
156,Chancy,2021,99.0
157,Chancy,2022,99.0
158,Chancy,2023,99.0
159,Chancy,2024,99.0
160,Choulex,2009,
161,Choulex,2010,
162,Choulex,2011,
163,Choulex,2012,
164,Choulex,2013,
165,Choulex,2014,
166,Choulex,2015,
167,Choulex,2016,
168,Choulex,2017,
169,Choulex,2018,
170,Choulex,2019,
171,Choulex,2020,
172,Choulex,2021,
173,Choulex,2022,
174,Choulex,2023,
175,Choulex,2024,
176,Chêne-Bougeries,2009,260.0
177,Chêne-Bougeries,2010,246.0
178,Chêne-Bougeries,2011,246.0
179,Chêne-Bougeries,2012,288.0
180,Chêne-Bougeries,2013,224.0
181,Chêne-Bougeries,2014,242.0
182,Chêne-Bougeries,2015,246.0
183,Chêne-Bougeries,2016,242.0
184,Chêne-Bougeries,2017,320.0
185,Chêne-Bougeries,2018,365.0
186,Chêne-Bougeries,2019,347.0
187,Chêne-Bougeries,2020,363.0
188,Chêne-Bougeries,2021,363.0
189,Chêne-Bougeries,2022,363.0
190,Chêne-Bougeries,2023,366.0
191,Chêne-Bougeries,2024,425.0
192,Chêne-Bourg,2009,489.0
193,Chêne-Bourg,2010,438.0
194,Chêne-Bourg,2011,438.0
195,Chêne-Bourg,2012,434.0
196,Chêne-Bourg,2013,431.0
197,Chêne-Bourg,2014,433.0
198,Chêne-Bourg,2015,499.0
199,Chêne-Bourg,2016,500.0
200,Chêne-Bourg,2017,470.0
201,Chêne-Bourg,2018,448.0
202,Chêne-Bourg,2019,378.0
203,Chêne-Bourg,2020,366.0
204,Chêne-Bourg,2021,430.0
205,Chêne-Bourg,2022,437.0
206,Chêne-Bourg,2023,502.0
207,Chêne-Bourg,2024,451.0
208,Collex-Bossy,2009,52.0
209,Collex-Bossy,2010,52.0
210,Collex-Bossy,2011,52.0
211,Collex-Bossy,2012,52.0
212,Collex-Bossy,2013,52.0
213,Collex-Bossy,2014,52.0
214,Collex-Bossy,2015,52.0
215,Collex-Bossy,2016,52.0
216,Collex-Bossy,2017,26.0
217,Collex-Bossy,2018,26.0
218,Collex-Bossy,2019,26.0
219,Collex-Bossy,2020,26.0
220,Collex-Bossy,2021,26.0
