,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
0,Aire-la-Ville,2010,182788.0,56393.0
1,Aire-la-Ville,2011,185509.0,61451.0
2,Aire-la-Ville,2012,188721.0,58982.0
3,Aire-la-Ville,2013,183835.0,60822.0
4,Aire-la-Ville,2014,188643.0,62734.0
5,Aire-la-Ville,2015,188138.0,58200.0
6,Aire-la-Ville,2016,187908.0,55509.0
7,Aire-la-Ville,2017,186688.0,61058.0
8,Aire-la-Ville,2018,193015.0,59963.0
9,Anières,2010,216706.0,43970.0
10,Anières,2011,222602.0,42002.0
11,Anières,2012,205514.0,43500.0
12,Anières,2013,226128.0,44874.0
13,Anières,2014,220801.0,45329.0
14,Anières,2015,219222.0,47882.0
15,Anières,2016,224029.0,47185.0
16,Anières,2017,222955.0,47671.0
17,Anières,2018,228257.0,47620.0
18,Avully,2010,131844.0,54340.0
19,Avully,2011,130994.0,55390.0
20,Avully,2012,133958.0,57703.0
21,Avully,2013,132916.0,56804.0
22,Avully,2014,134381.0,54730.0
23,Avully,2015,134873.0,53734.0
24,Avully,2016,137022.0,54058.0
25,Avully,2017,136227.0,53406.0
26,Avully,2018,137767.0,55927.0
27,Avusy,2010,183475.0,63028.0
28,Avusy,2011,190231.0,61992.0
29,Avusy,2012,191631.0,58292.0
30,Avusy,2013,200180.0,57217.0
31,Avusy,2014,200631.0,55619.0
32,Avusy,2015,199997.0,56009.0
33,Avusy,2016,200444.0,58237.0
34,Avusy,2017,207792.0,59610.0
35,Avusy,2018,206158.0,55868.0
36,Bardonnex,2010,160449.0,58971.0
37,Bardonnex,2011,160027.0,58205.0
38,Bardonnex,2012,159735.0,58661.0
39,Bardonnex,2013,163216.0,53962.0
40,Bardonnex,2014,161137.0,56051.0
41,Bardonnex,2015,161780.0,58660.0
42,Bardonnex,2016,163253.0,60360.0
43,Bardonnex,2017,161211.0,59066.0
44,Bardonnex,2018,156786.0,60901.0
45,Bellevue,2010,146368.0,51771.0
46,Bellevue,2011,149004.0,52873.0
47,Bellevue,2012,151768.0,50292.0
48,Bellevue,2013,153588.0,51451.0
49,Bellevue,2014,156314.0,52164.0
50,Bellevue,2015,156489.0,51020.0
51,Bellevue,2016,154403.0,50000.0
52,Bellevue,2017,155232.0,48174.0
53,Bellevue,2018,150063.0,47291.0
54,Bernex,2010,153063.0,56946.0
55,Bernex,2011,153848.0,57160.0
56,Bernex,2012,152414.0,55228.0
57,Bernex,2013,154028.0,55063.0
58,Bernex,2014,151242.0,60037.0
59,Bernex,2015,153783.0,59252.0
60,Bernex,2016,153503.0,58467.0
61,Bernex,2017,155455.0,58272.0
62,Bernex,2018,157646.0,57438.0
63,Carouge,2010,115621.0,50316.0
64,Carouge,2011,116906.0,51807.0
65,Carouge,2012,118173.0,51087.0
66,Carouge,2013,120820.0,51701.0
67,Carouge,2014,123167.0,53802.0
68,Carouge,2015,121181.0,53345.0
69,Carouge,2016,122264.0,53017.0
70,Carouge,2017,125665.0,53553.0
71,Carouge,2018,126947.0,54045.0
72,Cartigny,2010,187375.0,51580.0
73,Cartigny,2011,201529.0,61646.0
74,Cartigny,2012,198741.0,58299.0
75,Cartigny,2013,191206.0,54838.0
76,Cartigny,2014,190971.0,56123.0
77,Cartigny,2015,189844.0,58961.0
78,Cartigny,2016,189893.0,68000.0
79,Cartigny,2017,193964.0,65367.0
80,Cartigny,2018,194266.0,66624.0
81,Chancy,2010,164892.0,65308.0
82,Chancy,2011,167837.0,64145.0
83,Chancy,2012,165498.0,62216.0
84,Chancy,2013,173140.0,58514.0
85,Chancy,2014,163957.0,57651.0
86,Chancy,2015,165441.0,59814.0
87,Chancy,2016,164167.0,61091.0
88,Chancy,2017,161049.0,59682.0
89,Chancy,2018,157773.0,58492.0
90,Choulex,2010,194729.0,52520.0
91,Choulex,2011,197154.0,53160.0
92,Choulex,2012,204876.0,53355.0
93,Choulex,2013,202220.0,56457.0
94,Choulex,2014,205657.0,58153.0
95,Choulex,2015,200980.0,61662.0
96,Choulex,2016,200912.0,60938.0
97,Choulex,2017,205426.0,68489.0
98,Choulex,2018,207004.0,66018.0
99,Chêne-Bougeries,2010,170103.0,45103.0
100,Chêne-Bougeries,2011,165352.0,43184.0
101,Chêne-Bougeries,2012,163664.0,42905.0
102,Chêne-Bougeries,2013,169679.0,44696.0
103,Chêne-Bougeries,2014,167293.0,51867.0
104,Chêne-Bougeries,2015,169881.0,52133.0
105,Chêne-Bougeries,2016,172390.0,54264.0
106,Chêne-Bougeries,2017,169825.0,54143.0
107,Chêne-Bougeries,2018,174116.0,55642.0
108,Chêne-Bourg,2010,118435.0,46821.0
109,Chêne-Bourg,2011,117206.0,45783.0
110,Chêne-Bourg,2012,119109.0,44993.0
111,Chêne-Bourg,2013,119933.0,44834.0
112,Chêne-Bourg,2014,120801.0,48297.0
113,Chêne-Bourg,2015,116634.0,48186.0
114,Chêne-Bourg,2016,120248.0,47904.0
115,Chêne-Bourg,2017,118188.0,48905.0
116,Chêne-Bourg,2018,121711.0,48899.0
