,Commune,Année,Densité_km2
0,Aire-la-Ville,2005,286.0
1,Aire-la-Ville,2006,311.0
2,Aire-la-Ville,2007,374.0
3,Aire-la-Ville,2008,383.0
4,Aire-la-Ville,2009,389.0
5,Aire-la-Ville,2010,397.0
6,Aire-la-Ville,2011,390.0
7,Aire-la-Ville,2012,382.0
8,Aire-la-Ville,2013,382.0
9,Aire-la-Ville,2014,395.0
10,Aire-la-Ville,2015,396.0
11,Aire-la-Ville,2016,395.0
12,Aire-la-Ville,2017,398.0
13,Aire-la-Ville,2018,402.0
14,Aire-la-Ville,2019,398.0
15,Aire-la-Ville,2020,395.0
16,Aire-la-Ville,2021,388.0
17,Aire-la-Ville,2022,391.0
18,Aire-la-Ville,2023,395.6921217396154
19,Aire-la-Ville,2024,398.4257460694227
20,Anières,2005,613.0
21,Anières,2006,628.0
22,Anières,2007,625.0
23,Anières,2008,655.0
24,Anières,2009,654.0
25,Anières,2010,657.0
26,Anières,2011,646.0
27,Anières,2012,659.0
28,Anières,2013,653.0
29,Anières,2014,647.0
30,Anières,2015,663.0
31,Anières,2016,668.0
32,Anières,2017,656.0
33,Anières,2018,640.0
34,Anières,2019,634.0
35,Anières,2020,630.0
36,Anières,2021,643.0
37,Anières,2022,666.0
38,Anières,2023,672.9530370342706
39,Anières,2024,680.2085953850444
40,Avully,2005,388.0
41,Avully,2006,377.0
42,Avully,2007,379.0
43,Avully,2008,383.0
44,Avully,2009,385.0
45,Avully,2010,380.0
46,Avully,2011,381.0
47,Avully,2012,383.0
48,Avully,2013,384.0
49,Avully,2014,385.0
50,Avully,2015,387.0
51,Avully,2016,381.0
52,Avully,2017,385.0
53,Avully,2018,380.0
54,Avully,2019,372.0
55,Avully,2020,379.0
56,Avully,2021,373.0
57,Avully,2022,377.0
58,Avully,2023,381.961870748062
59,Avully,2024,378.93042732942655
60,Avusy,2005,242.0
61,Avusy,2006,252.0
62,Avusy,2007,252.0
63,Avusy,2008,266.0
64,Avusy,2009,266.0
65,Avusy,2010,268.0
66,Avusy,2011,276.0
67,Avusy,2012,281.0
68,Avusy,2013,279.0
69,Avusy,2014,281.0
70,Avusy,2015,277.0
71,Avusy,2016,272.0
