,Commune,Année,Voitures_electriques_par_borne,Consommation_electrique_annuelle_MWh_par_habitant,Production_electrique_renouvelable_annuelle_MWh_par_habitant
0,Aire-la-Ville,2023-11-30,8.5,3.4474,34.5596
1,Aire-la-Ville,2023-12-31,18.5,3.4965,34.5444
2,Aire-la-Ville,2024-01-31,20.0,3.5456,34.6373
3,Aire-la-Ville,2024-02-29,20.0,3.6118,34.5283
4,Aire-la-Ville,2024-03-31,6.8,3.6118,34.5596
5,Aire-la-Ville,2024-04-30,10.8,3.5827,34.3824
6,Aire-la-Ville,2024-05-31,21.0,3.5632,31.7834
7,Aire-la-Ville,2024-06-30,20.5,3.5534,31.7834
8,Aire-la-Ville,2024-07-31,21.5,3.5534,31.7834
9,Aire-la-Ville,2024-08-31,21.5,3.3384,31.0361
10,Aire-la-Ville,2024-10-31,21.5,3.6627,31.3906
11,Aire-la-Ville,2024-11-30,21.5,3.6698,31.467
12,Aire-la-Ville,2024-12-31,21.5,3.628,31.4102
13,Aire-la-Ville,2025-01-31,21.5,3.5703,31.0121
14,Aire-la-Ville,2025-02-28,23.5,3.1669,30.718
15,Aire-la-Ville,2025-03-31,24.0,3.1553,30.6006
16,Anières,2023-11-30,29.5,3.5403,0.2223
17,Anières,2023-12-31,30.0,3.5374,0.224
18,Anières,2024-01-31,29.0,3.5465,0.2268
19,Anières,2024-02-29,28.0,3.5699,0.2285
20,Anières,2024-03-31,29.5,3.5699,0.2277
21,Anières,2024-04-30,31.0,3.5656,0.2417
22,Anières,2024-05-31,31.5,3.5417,0.2673
23,Anières,2024-06-30,34.0,3.5347,0.2673
24,Anières,2024-07-31,10.1,3.5347,0.2673
25,Anières,2024-08-31,10.1,3.2925,0.3177
26,Anières,2024-09-30,10.6,3.6167,0.3346
27,Anières,2024-10-31,11.1,3.6192,0.3453
28,Anières,2024-11-30,10.9,3.6312,0.3428
29,Anières,2024-12-31,11.4,3.6679,0.356
30,Anières,2025-01-31,11.4,3.7046,0.3568
